part_num,name,part_cat_id
0687b1,Set 0687 Activity Booklet 1,17
0901,Baseplate 16 x 30 with Set 080 Yellow House Print,1
0902,Baseplate 16 x 24 with Set 080 Small White House Print,1
0903,Baseplate 16 x 24 with Set 080 Red House Print,1
0904,Baseplate 16 x 24 with Set 080 Large White House Print,1
1,Homemaker Bookcase 2 x 4 x 4,7
10,Baseplate 24 x 32,1
10016414,Sticker Sheet #1 for 41055-1,17
10019stk01,Sticker for Set 10019 - (43274/4170393),17
10026stk01,Sticker for Set 10026 - (44942/4184185),17
10029stk01,Sticker for Set 10029 - (4216816),17
10036stk01,Sticker for Set 10036 - (821407),17
10039,Pullback Motor 8 x 4 x 2/3,44
10048,Minifig Hair Tousled,13
10049,Minifig Shield Broad with Spiked Bottom and Cutout Corner,27
10049pr0001,Minifig Shield Broad with Spiked Bottom and Cutout Corner with Handprint Print,27
10050,Minifig Sword [Uruk-hai],27
10051,Minifig Helmet Castle with Lateral Comb [Uruk-hai],27
10051pr01,Minifig Helmet Castle with Lateral Comb and Handprint Print,27
10052,"Minifig Beard, Rounded End [Gandalf]",27
10053,Minifig Sword Small,27
10054,Minifig Helmet - Rohan Style Castle with Cheek Protection and Horsehead Comb,27
10054pr0001,"Minifig Helmet - Rohan Style with Cheek Protection, Horsehead Comb and Eomer Print",27
10054pr0002,Minifig Helmet - Rohan Cheek Protection and Theoden Print,27
10055,Minifig Hair Long Straight with Elf Ears [Plain],27
10055pr0001,Minifig Hair Long Straight with Light Flesh Elf Ears Print,27
10056,Minifig Helmet Castle with Cheek Protection [Plain],24
10056pr0001,Minifig Helmet Castle with Cheek Protection and Dark Red Ornaments Print,27
10057,Body / Head Gollum,13
10057pr0001,Body / Head Gollum - Wide Eyes,13
10057pr0002,Body / Head Gollum - Narrow Eyes,13
10058,"Arm, Bent [Gollum]",13
10061,"Arm Goblin King, Left",13
10062,"Hand Cave Troll, Left",13
10063,"Arm Goblin King, Right",13
10064,"Hand Cave Troll, Right",13
10065,Minifig Beard - Full with Braided Moustache Ends,13
10066,Minifig Hair Orc [Plain],24
10066pr0001,Minifig Hair Orc with Dark Tan Ears Print,13
10066pr0002,Minifig Hair Orc with Olive Green Ears Print,13
10066pr0003,Minifig Hair Orc with Medium Dark Flesh Ears Print,13
10075cdb01,"Paper, Cardboard Backdrop for Set 10075 Spider-Man Action Pack",17
10111,ADULT FIGURE W/HEADSET,4
10111apr0006,ADULT FIGURE W/HEADSET (Yellow) NO. 6,57
10113,Minifig Batman Mask with Angular Ears and Pronounced Brow,13
10113pr0001,"MASK, BATMAN, NO. 1 with Bat Print",27
10113pr0002,Mask Batman with Crack Print,27
10119,Duplo Brick 2 x 10 x 2 Arch with Gold Vines with Leaves and 'C' in Shield print,4
10124,"Arm Giant, Right",13
10124pr0001,"Arm Giant, Right with Blue Darkseid Print",13
10126,Hand Hulk - Right,13
10127,Hand Hulk - Left,13
10127stk01,"Sticker for Set 10127 - Sheet 1, Primarily Eastern Teams (47852/4210596)",17
10127stk02,"Sticker for Set 10127 - Sheet 2, Primarily Western Teams (47851/4210595)",17
10127stk03,"Sticker for Set 10127 - Sheet 3, All 30 Teams and Numbers 1-9 (47853/4210598)",17
10128,Hulk Body [Plain],24
10128pr0001,Hulk Body with Dark Tan Pants Print,13
10128pr0002,Hulk Body with Dark Purple Pants Print,13
10129stk01,Sticker for Set 10129 - (48074/4214068),17
10134stk01,Sticker for Set 10134 - (48981/4221407),17
10144stk01,Sticker for Set 10144 - (53390/4269558),17
10154,"Arm Giant, Left",13
10154pr0001,"Arm Giant, Left with Blue Darkseid Print",13
10159stk01,Sticker for Set 10159 - (4264102),17
10164,"Minifig Cap, Santa [Plain]",24
10164pr0001,Minifig Santa Hat with Red Top Print,27
10165c01,Minifig Helmet Underwater Deep Diver with Trans-Clear Glass,27
10166,Minifig Hair Short Tousled with Headphones Print [Plain],27
10166pr0001,Minifig Hair Short Tousled with Silver Headphones Print,27
