set_num,name,year,theme_id,num_parts
00-1,Weetabix Castle,1970,414,471
0011-2,Town Mini-Figures,1978,84,12
0011-3,Castle 2 for 1 Bonus Offer,1987,199,2
0012-1,Space Mini-Figures,1979,143,12
0013-1,Space Mini-Figures,1979,143,12
0014-1,Space Mini-Figures,1979,143,12
0015-1,Space Mini-Figures,1979,143,18
0016-1,Castle Mini Figures,1978,186,15
00-2,Weetabix Promotional House 1,1976,413,147
00-3,Weetabix Promotional House 2,1976,413,149
00-4,Weetabix Promotional Windmill,1976,413,126
005-1,Basic Building Set in Cardboard,1965,366,35
00-6,Special Offer,1985,67,3
00-7,Weetabix Promotional Lego Village,1976,413,3
010-1,Basic Building Set in Cardboard,1965,366,57
010-3,Basic Building Set,1968,366,77
011-1,Basic Building Set,1968,366,145
022-1,Basic Building Set,1968,366,110
03093-1,The Race to Build It Board Game,1999,502,70
033-2,Basic Building Set,1968,366,177
044-1,Basic Building Set,1968,366,225
055-2,Basic Building Set,1968,366,256
066-1,Basic Building Set,1968,366,407
080-1,Basic Building Set with Train,1967,366,710
088-1,Super Set,1969,469,615
10000-1,Guarded Inn,2001,186,256
10001-1,Metroliner,2001,233,785
10002-1,Railroad Club Car,2001,233,272
10003-1,1 x 2 Sand Red Bricks,2001,254,100
10004-1,2 x 2 Sand Red Bricks,2001,254,100
10005-1,2 x 4 Sand Red Bricks,2001,254,50
10006-1,1 x 6 Sand Red Bricks,2001,254,50
10007-1,2 x 4 Sand Red Ridge Roof Tiles Steep Slope,2001,254,25
10008-1,2 x 4 Roof Tile Sand Red,2001,254,50
10009-1,Assorted Blue Bricks,2001,254,62
100-1,4.5V Motor with Wheels (Small Version),1966,243,16
10010-1,Assorted Yellow Bricks,2003,254,63
10011-1,Assorted Blue Plates,2001,254,42
10012-1,Assorted Yellow Plates,2001,254,42
10013-1,Open Freight Wagon,2001,238,121
10014-1,Caboose,2001,238,170
10015-1,Passenger Wagon,2001,238,194
10016-1,Tanker,2001,238,128
10017-1,Hopper Wagon,2001,238,228
10018-1,Darth Maul,2001,158,1868
10019-1,Rebel Blockade Runner - UCS,2001,174,1747
100-2,4.5V Motor with Wheels (Large Version),1966,243,27
10020-1,"Santa Fe Super Chief, NOT the Limited Edition",2002,236,427
10020-2,"Santa Fe Super Chief, Limited Edition",2002,236,433
10021-1,U.S.S. Constellation,2003,404,974
10022-1,"Santa Fe Cars - Set II (dining, observation, or sleeping car)",2002,237,410
10023-1,Master Builder Set,2002,324,112
10024-1,Red Baron,2002,276,669
10025-1,Santa Fe Cars - Set I (mail or baggage car),2002,237,325
10026-1,Naboo Starfighter - UCS,2002,172,187
10027-1,Train Engine Shed,2003,239,670
10029-1,Lunar Lander,2003,387,468
10030-1,Imperial Star Destroyer - UCS,2002,174,3115
10036-1,Pizza To Go,2002,75,150
10037-1,Breezeway Cafe,2002,75,194
10039-1,Black Falcon's Fortress,2002,186,431
10040-1,Black Seas Barracuda,2002,147,914
10041-1,"Main Street, Reissue",2003,85,639
10042-1,American Flag,2003,206,35
10043-1,2x2 Electrical Plate,2002,254,1
10044-1,Windows and Doors,2002,254,44
10045-1,Pillars and Beams,2002,254,13
10046-1,Brown Tiles,2002,254,100
10047-1,Light Gray Arches,2002,254,36
10048-1,Small Wheels and Axles,2002,254,61
10049-1,Large Wheels and Axles,2002,254,31
10050-1,Gray Fences,2002,254,34
10051-1,Transparent Bricks,2002,254,50
10053-1,Black Slopes 33,2003,254,44
10054-1,Black Slopes 33 3 x 2 and 3 x 4,2003,254,68
10055-1,Black Slopes 33 3 x 1 and 3 x 3,2003,254,50
10056-1,White Plates 2 x n,2002,254,56
10057-1,Black Plates 2 x n,2002,254,56
10058-1,Red Plates 2 x n,2002,254,56
10059-1,Dark Green Plates 2 x n,2002,254,56
10060-1,Light Gray Plates 2 x n,2002,254,56
10061-1,Black Plates 1 x n,2002,254,84
10062-1,Red Plates 1 x n,2002,254,84
10063-1,Dark Green Plates 1 x n,2002,254,84
10064-1,Light Gray Plates 1 x n,2002,254,84
10065-1,White Plates 1 x n,2002,254,84
10066-1,Castle Accessories,2002,255,41
10067-1,Mini-Fig Headgear,2002,254,53
10068-1,Santa Claus,2002,227,39
10069-1,Christmas Tree,2002,227,33
10070-1,Reindeer,2002,227,26
10071-1,Mr. Bunny,2003,229,25
10072-1,TECHNIC Beams,2003,256,56
10073-1,Bushes,2003,256,130
10074-1,Cross Axles,2003,256,68
10075-1,Spider-Man Action Pack,2002,488,25
10076-1,TECHNIC Gear Wheels,2002,256,38
10077-1,TECHNIC Motor,2003,256,55
10078-1,Train Connection Wire,2003,257,1
10079-1,Snowman,2003,227,42
10080-1,Angel,2003,227,33
10081-1,Birthday Pack Heart,2004,500,70
10082-1,Birthday Pack Daisy,2004,500,70
10083-1,Birthday Pack Star,2004,500,70
10090-1,Turkey,2003,231,54
10106-1,Snowflake,2006,227,107
101-1,4.5V Battery Case,1969,243,1
10111-1,Foliferous Tree,2001,254,10
10112-1,Bush,2001,254,25
10113-1,Cypress Trees,2001,254,5
10114-1,2 x 2 Sand Red Roof Tiles,2001,254,100
10115-1,Jumper Bricks,2001,254,80
10116-1,Accessories Heart,2004,500,50
10117-1,Accessories Daisy,2004,500,50
10118-1,Accessories Star,2004,500,50
10121-1,NBA Basketball Teams,2003,459,16
10123-1,Cloud City,2003,169,707
10124-1,Wright Flyer,2003,276,663
10127-1,NHL Action Set with Stickers,2003,461,56
10128-1,Train Level Crossing,2003,239,326
10129-1,Rebel Snowspeeder - UCS,2003,174,1456
101-3,4.5V Battery Case,1966,243,1
10131-1,TIE Fighter Collection,2004,169,688
10132-1,Motorized Hogwarts Express,2004,246,693
10133-1,Burlington Northern Santa Fe Locomotive,2004,236,400
10134-1,Y-wing Attack Starfighter - UCS,2004,174,1487
10143-1,Death Star II,2005,174,3460
10144-1,Sandcrawler,2005,169,1679
10145-1,Assorted Light Gray Bricks,2004,254,124
10146-1,Assorted Dark Gray Bricks,2004,254,62
10147-1,Assorted Brown Bricks,2004,254,62
10148-1,Assorted Light Gray Plates,2004,254,84
10149-1,Assorted Dark Gray Plates,2004,254,42
10150-1,Assorted Brown Plates,2004,254,42
10151-1,Hot Rod,2004,278,420
10152-1,Maersk Sealand Container Ship 2004 Edition,2004,276,982
10152-2,Maersk Sealand Container Ship 2005 Edition,2005,276,982
10152-3,Maersk Line Container Ship 2006 Edition,2006,276,982
10153-1,Electric Train Motor 9V (My Own Train),2002,244,3
10155-1,Maersk Line Container Ship 2010 Edition,2010,276,984
10156-1,LEGO Truck,2004,85,105
10157-1,High Speed Train Locomotive,2004,239,134
10158-1,High Speed Train Car,2004,239,151
10159-1,City Airport -City Logo Box,2004,53,913
10159-2,City Airport -Full Size Image Box,2004,68,913
10160-1,Black Ridge Roof Tiles,2004,254,48
10161-1,Black Roof Tiles,2004,254,76
10162-1,Red Ridge Tiles,2004,254,48
10163-1,Red Roof Tiles,2004,254,76
10165-1,Elf Boy,2004,227,27
10166-1,Elf Girl,2004,227,31
10167-1,Brickmaster Kit (with Digital Designer CD),2004,301,182
10168-1,Mrs. Bunny,2005,229,64
10169-1,Chicken & Chicks,2005,229,60
10170-1,TTX Intermodal Double-Stack Car,2005,236,365
10173-1,Holiday Train,2006,236,969
10174-1,Imperial AT-ST - UCS,2006,174,1070
10175-1,Vader's TIE Advanced - UCS,2006,174,1211
10176-1,Royal King's Castle,2006,197,871
10177-1,Boeing 787 Dreamliner,2006,276,1196
10178-1,Motorized Walking AT-AT,2007,169,1137
10179-1,Millennium Falcon - UCS,2007,174,5195
10181-1,Eiffel Tower 1:300 Scale,2007,276,3428
10182-1,Cafe Corner,2007,155,2058
10183-1,Hobby Train,2007,397,1080
10184-1,Town Plan,2008,104,2017
10185-1,Green Grocer,2008,155,2358
10186-1,General Grievous,2008,173,1084
