id,name,parent_id
1,Technic,
2,Arctic Technic,1
3,Competition,1
4,Expert Builder,1
5,Model,1
6,Airport,5
7,Construction,5
8,Farm,5
9,Fire,5
10,Harbor,5
11,Off-Road,5
12,Race,5
13,Riding Cycle,5
14,Robot,5
15,Traffic,5
16,RoboRiders,1
17,Speed Slammers,1
18,Star Wars,1
19,Supplemental,1
20,Throwbot Slizer,1
21,Universal Building Set,1
22,Creator,
23,Basic Model,22
24,Airport,23
25,Castle,23
26,Construction,23
27,Race,23
28,Harbor,23
29,Train,23
30,Traffic,23
31,Creature,23
32,Robot,23
33,Food & Drink,23
34,Building,23
35,Cargo,23
36,Fire,23
37,Basic Set,22
38,Model,22
39,Traffic,38
40,Creature,38
41,Riding Cycle,38
42,Airport,38
43,Building,38
44,Recreation,38
45,Cargo,38
46,Harbor,38
47,Fire,38
48,Supplemental,22
49,Mecha,22
50,Town,
51,Arctic,50
52,City,50
53,Airport,52
54,Cargo,52
55,Coast Guard,52
56,Construction,52
57,Farm,52
58,Fire,52
59,Harbor,52
60,Hospital,52
61,Police,52
62,Supplemental,52
63,Traffic,52
64,Off-Road,52
65,Arctic,52
66,Trains,52
67,Classic Town,50
68,Airport,67
69,Building,67
70,Cargo,67
71,Coast Guard,67
72,Construction,67
73,Farm,67
74,Fire,67
75,Food & Drink,67
76,Station,67
77,Harbor,67
78,Hospital,67
79,Off-Road,67
80,Police,67
81,Post Office,67
82,Race,67
83,Recreation,67
84,Supplemental,67
85,Traffic,67
86,Divers,50
87,Extreme Team,50
88,Launch Command,50
89,Outback,50
90,Paradisa,50
91,Race,50
92,Res-Q,50
93,Space Port,50
94,Town Jr.,50
95,Cargo,94
96,Coast Guard,94
97,Construction,94
98,Fire,94
99,Gas Station,94
100,Police,94
101,Race,94
102,Supplemental,94
103,Traffic,94
104,Town Plan,50
105,World City,50
106,Airport,105
107,Coast Guard,105
108,Fire,105
109,Food & Drink,105
110,Harbor,105
111,Police,105
112,Racers,
113,Drome Racers,112
114,Ferrari,112
115,Lamborghini,112
116,Power Racers,112
117,Radio Control,112
118,Speed Racer,112
119,Supplemental,112
120,Tiny Turbos,112
121,Track System,112
122,Williams F1,112
123,World Racers,112
124,Supplemental,123
125,Xalax,112
126,Space,
127,Alien Conquest,126
128,Blacktron I,126
129,Blacktron II,126
130,Classic Space,126
131,Exploriens,126
132,Futuron,126
133,Ice Planet 2002,126
134,Insectoids,126
135,Life On Mars,126
136,M:Tron,126
137,Mars Mission,126
138,RoboForce,126
139,Space Police I,126
140,Space Police II,126
141,Space Police III,126
142,Spyrius,126
143,Supplemental,126
144,UFO,126
145,Unitron,126
146,Galaxy Squad,126
147,Pirates,
148,Pirates I,147
149,Imperial Armada,148
150,Imperial Guards,148
151,Imperial Soldiers,148
152,Islanders,148
153,Pirates II,147
154,Pirates III,147
155,Modular Buildings,
156,Mini,155
157,Bricktober,155
158,Star Wars,
159,Mini,158
160,Star Wars Clone Wars,159
161,Star Wars Episode 2,159
162,Star Wars Episode 3,159
163,Star Wars Episode 4/5/6,159
164,Star Wars Episode 1,159
165,Star Wars Clone Wars,158
166,Star Wars Episode 1,158
167,Star Wars Episode 2,158
168,Star Wars Episode 3,158
169,Star Wars Episode 4/5/6,158
170,Star Wars Other,158
171,Ultimate Collector Series,158
172,Star Wars Episode 1,171
173,Star Wars Episode 3,171
174,Star Wars Episode 4/5/6,171
175,Star Wars Episode 2,171
176,Planet Series 1,158
177,Planet Series 2,158
178,Minifig Pack,158
179,Planet Series 3,158
180,Planet Series 4,158
181,Star Wars Episode 4/5/6,180
182,Star Wars Rebels,158
183,Star Wars Expanded Universe,158
184,Star Wars Episode 7,158
185,Star Wars Rogue One,158
186,Castle,
187,Black Falcons,186
188,Black Knights,186
189,Classic Castle,186
190,Crusaders,186
191,Dark Forest,186
192,Dragon Knights,186
193,Fantasy Era,186
194,Forestmen,186
195,Fright Knights,186
196,Kingdoms,186
197,Knights Kingdom I,186
198,Knights Kingdom II,186
199,Lion Knights,186
200,My Own Creation,186
201,Royal Knights,186
